Type,Title,Summary,Author,Publication Date
Article,Unforeseen plant phenotypic diversity in a dry and grazed world,Analysis of 20 chemical and morphological plant traits at diverse sites across 6 continents shows that the transition from semi-arid to arid zones is associated with an unexpected 88% increase in trait diversity.,"Nicolas Gross, Fernando T. Maestre, Yoann Le Bagousse-Pinguet",07-Aug-24
Article,Neuronal substance P drives metastasis through an extracellular RNA–TLR7 axis,Hyperactivation of sensory neurons regulates multiple aspects of metastatic progression in breast cancer.,"Veena Padmanaban, Isabel Keller, Sohail F. Tavazoie",07-Aug-24
Article,Single-crystalline metal-oxide dielectrics for top-gate 2D transistors,"By using intercalative oxidation techniques, stable, stoichiometric and atomically thin single-crystalline Al2O3films can be produced, which can be effectively used as a dielectric in top-gated field-effect transistors based on two-dimensional materials.","Daobing Zeng, Ziyang Zhang, Zengfeng Di",07-Aug-24
Article,Fully forward mode training for optical neural networks,"We present fully forward mode learning, which conducts machine learning operations on site, leading to faster learning and promoting advancement in numerous fields.","Zhiwei Xue, Tiankuang Zhou, Lu Fang",07-Aug-24
Article,Molecular mimicry in multisystem inflammatory syndrome in children,A cross-reactive antibody and T cell response is identified in a large portion of patients with multisystem inflammatory syndrome in children.,"Aaron Bodansky, Robert C. Mettelman, Joseph L. DeRisi",07-Aug-24
Article,A spatial expression atlas of the adult human proximal small intestine,"A comprehensive spatial expression atlas of the adult human proximal small intestine reveals branched villi, immune activation at the villus tip, and a switch of migrating enterocytes from lipid droplet assembly and iron uptake at the villus bottom to chylomicron biosynthesis and iron release at the tip.","Yotam Harnik, Oran Yakubovsky, Shalev Itzkovitz",07-Aug-24
Article,ILC2-derived LIF licences progress from tissue to systemic immunity,"Disruption of leukaemia inhibitory factor production from group 2 innate lymphoid cells prevents immune cells leaving the lungs to migrate to lymph nodes, leading to plasmacytoid dendritic cells becoming retained in the lungs following viral infection.","Mayuri Gogoi, Paula A. Clark, Andrew N. J. McKenzie",07-Aug-24
Nature Podcast,Where weird plants thrive: aridity spurs diversity of traits,"As environments get more dry, plant species numbers drop, but the number of traits increase — plus, what the hottest temperatures for centuries mean for the Great Barrier Reef.","Nick Petrić Howe, Emily Bates",07-Aug-24
Career Feature,Scientists are falling victim to deepfake AI video scams — here’s how to fight back,"Cybercriminals are increasingly singling out researchers, alongside politicians and celebrities. Targeted scientists share tips on how to silence them.",Linda Nordling,07-Aug-24
Research Briefing,DNA strands show symmetry in damage tolerance but asymmetries in repair efficiency,"The two strands of DNA, although chemically equivalent, are replicated and repaired asymmetrically. Insights into the persistence of DNA damage show how strand-specific interactions shape the genome-wide distribution of mutations, including the unexpected symmetry of mutations arising in the DNA strands during replication.","N, /, A",07-Aug-24
News & Views,Protein droplets spread to seal tight junctions,Cells that form tissue barriers rely on cell–cell contacts called tight junctions. These structures assemble from protein condensates that spread along the cell membrane like a water droplet spreading over glass.,Alexander Ludwig,07-Aug-24
Research Briefing,Neural circuit underlying asthma reinforces the lung’s role as a sensory organ,"Molecular, anatomical and functional evidence point to a multi-nodal neural circuit that senses allergenic particles in inhaled air and induces exaggerated airway constriction, a hallmark of asthma. This is the first description of a full circuit that starts in the lung and returns to control lung function.","N, /, A",07-Aug-24
News Feature,From Vikings to Beethoven: what your DNA says about your ancient relatives,Scientists are using consumer-genomics databases to link living people to ancestors from the recent and not-so-recent past. But the meaning of these connections isn’t always clear.,Ewen Callaway,07-Aug-24
News & Views,Coral giants sound the alarm for the Great Barrier Reef,"Ocean warming has repeatedly led to mass coral bleaching on the Great Barrier Reef in the past 20 years, threatening its existence. Coral skeletons show that reef temperatures reached historical highs during this period.",Miriam Pfeiffer,07-Aug-24
News & Views,Physics solves a training problem for artificial neural networks,"Systems that emulate biological neural networks offer an efficient way of running AI algorithms, but they can’t be trained using the conventional approach. The symmetry of these ‘physical’ networks provides a neat solution.",Damien Querlioz,07-Aug-24
News,Great Barrier Reef’s temperature soars to 400-year high,Chemical analysis of coral skeletons reveals unprecedented warming trend that could spell disaster for the iconic reef.,Jeff Tollefson,07-Aug-24
News & Views,Structures of the dopamine transporter point to ways to target addiction and disease,Three studies of the human dopamine transporter reveal how it binds to molecules such as dopamine and cocaine. Dopamine imbalances underlie some brain conditions and these data will aid targeted drug design.,Harald H. Sitte,07-Aug-24
News,Breast-cancer cells enlist nerves to spread throughout the body,"Surprising results show that ‘sensory’ nerves, which carry information to the brain, have a direct role in helping tumours to metastasize.",Heidi Ledford,07-Aug-24
News,T. rexrelative found in Thailand: why local researchers are excited,Scientists hope the discovery will inspire more palaeontologists from southeast Asia to explore the region’s fossil history.,Dyna Rochmyaningsih,07-Aug-24
Research Briefing,Airway hillocks can withstand injury and protect specialized stem cells,"Airway hillocks were identified in 2018. These barrier structures in the mammalian airway are composed of tightly interlocking flat cells that shield an underlying population of highly regenerative and specialized stem cells. Remarkably, hillocks seem to resist all major forms of environmental damage, ranging from toxic substances and acid to infection.","N, /, A",07-Aug-24
Futures,Day tripper,A holiday to remember.,Jon Zatorski,07-Aug-24
Technology Feature,A publishing platform that places code front and centre,Curvenote creates interactive publications based on digital-coding notebooks and aims to increase the transparency and reproducibility of data science.,Amanda Heidt,07-Aug-24
News,Camera-carrying sea lions map uncharted areas of the ocean,Sensors mounted on the animals’ backs gather data on unexplored sea floor habitats.,Helena Kudiabor,07-Aug-24
Research Briefing,How migrating cells define their back to move forward,Migrating cells must determine where to form a front end and a back end. A gradient in contact sites between the cell membrane and an organelle called the endoplasmic reticulum (ER) is generated by a gradient of ER curvature and is required to guide and control migration speed.,"N, /, A",07-Aug-24
Nature Index,The UK launched a metascience unit. Will other countries follow suit?,"Tasked with finding better ways to conduct, distribute and fund research, the unit could set the standard for government-led ‘science of science’ initiatives.",Dalmeet Singh Chawla,07-Aug-24
News Feature,Blood tests could soon predict your risk of Alzheimer’s,Scientists are closing in on biomarkers that reflect the progression of Alzheimer’s disease and could improve treatments.,Alison Abbott,07-Aug-24
Author Correction,Author Correction: The enduring world forest carbon sink,N/A,"Yude Pan, Richard A. Birdsey, Daniel Murdiyarso",06-Aug-24
Research Highlight,"Cobras and mambas and coral snakes, oh my! DNA shows their origins","A snake family that includes many venomous species arose in Asia, despite fossil evidence pointing to an African origin.","N, /, A",06-Aug-24
Correspondence,Shore up renewable energy in wake of Brazil’s devastating floods,N/A,"Aline C. Pan, Juliana Klas",06-Aug-24
Correspondence,Basic neuroscience is integral to transgender people’s health care,N/A,"Doug P. VanderLaan, Philippa Hüpen",06-Aug-24
Correspondence,China’s robotaxis need regulation,N/A,Hong Yang,06-Aug-24
News & Views,How to help students enjoy physics lessons,"Pupil and teacher characteristics underpinning successful physics classes, and the astronomical appeal of planetarium light shows, in our weekly dip intoNature’s archive.","N, /, A",06-Aug-24
News,Second brain implant by Elon Musk’s Neuralink: will it fare better than the first?,Device allowing the user to control a computer cursor using their thoughts has been adjusted in a bid to prevent glitches with the first implant.,"Miryam Naddaf, Liam Drew",06-Aug-24
