Token,Posting List
weather,165 -->385 -->396 -->458 -->882 -->
wegovy,772 -->
weigh,188 -->
weighs,419 -->814 -->
weight-loss,696 -->
weird,220 -->268 -->
weird’,652 -->
welcome,574 -->
welcomed,866 -->
went,250 -->
western,76 -->624 -->637 -->
what,48 -->53 -->62 -->140 -->145 -->225 -->309 -->386 -->397 -->408 -->416 -->461 -->564 -->571 -->645 -->690 -->700 -->819 -->891 -->895 -->951 -->954 -->985 -->988 -->
whatscienceandnatureare,3 -->
whattwistersgets,477 -->
what’s,162 -->739 -->915 -->
wheat,121 -->713 -->799 -->
when,144 -->341 -->375 -->445 -->465 -->866 -->
where,220 -->391 -->779 -->
whether,469 -->
which,904 -->
whistleblowing,80 -->
white,902 -->
who,164 -->167 -->184 -->186 -->264 -->291 -->328 -->333 -->464 -->539 -->635 -->974 -->
whole,87 -->983 -->
why,2 -->12 -->61 -->72 -->73 -->88 -->158 -->179 -->183 -->189 -->231 -->253 -->325 -->379 -->389 -->533 -->557 -->638 -->713 -->791 -->858 -->908 -->912 -->976 -->997 -->
widely,581 -->
wider,448 -->
widespread,910 -->
wild,503 -->992 -->
wild:,12 -->
wilderness,12 -->
wildfires,51 -->72 -->256 -->729 -->812 -->
wildlife,172 -->
"wildlife,",787 -->
will,62 -->96 -->104 -->157 -->160 -->167 -->174 -->237 -->245 -->307 -->324 -->373 -->402 -->409 -->469 -->625 -->884 -->899 -->957 -->986 -->
win,105 -->574 -->873 -->
window,959 -->
winds,169 -->
wine,490 -->
wing,288 -->672 -->
wins,481 -->897 -->
wireless,125 -->928 -->
with,10 -->19 -->23 -->36 -->54 -->81 -->97 -->119 -->146 -->210 -->328 -->335 -->338 -->340 -->355 -->417 -->435 -->441 -->460 -->605 -->609 -->654 -->680 -->687 -->697 -->698 -->702 -->704 -->715 -->761 -->766 -->778 -->793 -->795 -->801 -->822 -->897 -->943 -->988 -->
within,376 -->390 -->506 -->688 -->
withnature,739 -->
without,2 -->165 -->317 -->399 -->646 -->659 -->842 -->
withstand,232 -->
woes,774 -->
woman’s,322 -->860 -->
womb,192 -->
women,147 -->
"women,",974 -->
women’s,252 -->
won,186 -->
won’t,459 -->581 -->978 -->
wood,82 -->
wooden,901 -->
woody,357 -->
words’,626 -->
work,172 -->269 -->557 -->762 -->904 -->
worked,6 -->253 -->
workhorse,538 -->
working,87 -->811 -->842 -->856 -->865 -->880 -->
works,605 -->711 -->
works:,865 -->
world,213 -->239 -->329 -->377 -->420 -->466 -->583 -->656 -->712 -->983 -->
world's,321 -->901 -->
world:,620 -->
world?,62 -->
world’,994 -->
world’s,56 -->167 -->174 -->188 -->262 -->269 -->467 -->802 -->
worm,417 -->
worried,176 -->
worsen,525 -->
worsening,640 -->
would,181 -->988 -->
writer’s,820 -->
writing,456 -->
wrn,587 -->
wrong,477 -->704 -->
wrongly,464 -->
x,370 -->843 -->
x-ray,43 -->282 -->300 -->
xg,125 -->
xpr1,28 -->
y,370 -->
yba2cu3o6.48,526 -->
year,72 -->884 -->891 -->
years,99 -->147 -->261 -->475 -->542 -->597 -->616 -->771 -->833 -->867 -->
year’s,616 -->
yet,390 -->
yield,830 -->
york,888 -->
you,158 -->181 -->249 -->253 -->296 -->371 -->373 -->379 -->404 -->465 -->474 -->529 -->586 -->790 -->972 -->988 -->
you:,93 -->
you?,145 -->
young,890 -->
young:,53 -->
younger,328 -->
your,105 -->114 -->139 -->191 -->225 -->238 -->296 -->379 -->400 -->410 -->444 -->449 -->474 -->550 -->551 -->618 -->651 -->711 -->739 -->813 -->997 -->
youthful,662 -->
you’re,729 -->
zinc,667 -->
zircons,556 -->
zoo,894 -->
}}}}{}^{{\bf{4}}}\bar{{\bf{h}}}\),38 -->40 -->
µ-opioid,605 -->
α-elimination,911 -->
β-amyloid,506 -->
γδ,103 -->
σ-bonds,130 -->
ω,513 -->
—,7 -->8 -->13 -->15 -->16 -->20 -->60 -->61 -->82 -->85 -->96 -->102 -->147 -->163 -->165 -->176 -->182 -->184 -->221 -->246 -->249 -->253 -->254 -->261 -->262 -->271 -->272 -->296 -->301 -->307 -->320 -->322 -->326 -->329 -->334 -->368 -->385 -->386 -->401 -->407 -->412 -->449 -->455 -->456 -->466 -->477 -->478 -->533 -->542 -->551 -->562 -->578 -->581 -->637 -->639 -->640 -->646 -->655 -->658 -->698 -->703 -->711 -->762 -->769 -->778 -->783 -->787 -->790 -->793 -->808 -->809 -->812 -->818 -->822 -->851 -->856 -->860 -->868 -->869 -->871 -->880 -->882 -->908 -->913 -->951 -->955 -->960 -->961 -->964 -->982 -->986 -->989 -->
‘all,583 -->
‘atlas’,763 -->
‘brain,571 -->
‘bug,91 -->
‘chemical,582 -->
‘computational,393 -->
‘cured’,325 -->
‘deepfake’,398 -->
‘epigenome,657 -->
‘evidence,915 -->
‘fantastic’,733 -->
‘female’,86 -->
‘fighting,778 -->
‘fire,256 -->
‘flash,51 -->
‘future-proofed’,467 -->
‘green’,82 -->
‘i,881 -->961 -->
‘it,762 -->
‘it’s,483 -->
‘jumping,659 -->
‘learns’,19 -->
‘leopard,327 -->
‘less,652 -->
‘like,907 -->
‘mind’s,816 -->
‘no,885 -->
‘ocean,301 -->
‘open,713 -->765 -->
‘open-washing’,722 -->735 -->
‘phd,454 -->
‘polar,721 -->
‘preposterous’,984 -->
‘preposterous’:,999 -->
‘protein,180 -->
‘publish,271 -->
‘quieting’,489 -->
"‘rainbow’,",907 -->
‘smart’,741 -->
‘sugar,994 -->
‘superhuman’,547 -->
‘there’s,88 -->
‘thrilling’,573 -->
‘took,184 -->
‘toxic,189 -->
‘trump-proof’,324 -->
‘unacceptable’:,108 -->
‘vindicated’:,707 -->
‘who,174 -->
‘zombie’,172 -->
“who,572 -->
